Park Name,Category,Scientific Name,Common Names,Observations,T&E
Bryce Canyon National Park,Bird,Calidris mauri,Western Sandpiper,,
Bryce Canyon National Park,Bird,Calidris minutilla,Least Sandpiper,,
Bryce Canyon National Park,Bird,Catoptrophorus semipalmatus,Willet,,
Bryce Canyon National Park,Bird,Gallinago delicata,Wilson'S Snipe,,
Bryce Canyon National Park,Bird,Limnodromus scolopaceus,Long-Billed Dowitcher,,
Bryce Canyon National Park,Bird,Phalaropus lobatus,Red-Necked Phalarope,,SC
Bryce Canyon National Park,Bird,Phalaropus tricolor,Wilson'S Phalarope,,
Bryce Canyon National Park,Bird,Tringa flavipes,Lesser Yellowlegs,,SC
Bryce Canyon National Park,Bird,Tringa melanoleuca,Greater Yellowlegs,,
Bryce Canyon National Park,Bird,Tringa solitaria,Solitary Sandpiper,,SC
Bryce Canyon National Park,Bird,Columba livia,Rock Pigeon,,
Bryce Canyon National Park,Bird,Patagioenas fasciata,Band-Tailed Pigeon,,SC
Bryce Canyon National Park,Bird,Zenaida macroura,Mourning Dove,,
Bryce Canyon National Park,Bird,Ceryle alcyon,Belted Kingfisher,,
Bryce Canyon National Park,Bird,Falco columbarius,Merlin,,SC
Bryce Canyon National Park,Bird,Falco mexicanus,Prairie Falcon,,SC
Bryce Canyon National Park,Bird,Falco peregrinus,Peregrine Falcon,,SC
Bryce Canyon National Park,Bird,Falco sparverius,American Kestrel,,
Bryce Canyon National Park,Bird,Callipepla gambelii,Gambel'S Quail,1,
Bryce Canyon National Park,Bird,Alectoris chukar,Chukar,,
Bryce Canyon National Park,Bird,Dendragapus obscurus,Blue Grouse,,
Bryce Canyon National Park,Bird,Meleagris gallopavo,Wild Turkey,,
Bryce Canyon National Park,Bird,Phasianus colchicus,Ring-Necked Pheasant,,
Bryce Canyon National Park,Bird,Gavia immer,Common Loon,,SC
Bryce Canyon National Park,Bird,Fulica americana,American Coot,,
Bryce Canyon National Park,Bird,Porzana carolina,Sora,,
Bryce Canyon National Park,Bird,Psaltriparus minimus,Bushtit,,
Bryce Canyon National Park,Bird,Eremophila alpestris,Horned Lark,,
Bryce Canyon National Park,Bird,Bombycilla cedrorum,Cedar Waxwing,,
Bryce Canyon National Park,Bird,Bombycilla garrulus,Bohemian Waxwing,,
Bryce Canyon National Park,Bird,Passerina amoena,Lazuli Bunting,,SC
Bryce Canyon National Park,Bird,Passerina caerulea,Blue Grosbeak,,SC
Bryce Canyon National Park,Bird,Passerina cyanea,Indigo Bunting,,
Bryce Canyon National Park,Bird,Pheucticus ludovicianus,Rose-Breasted Grosbeak,,
Bryce Canyon National Park,Bird,Pheucticus melanocephalus,Black-Headed Grosbeak,,
Bryce Canyon National Park,Bird,Piranga ludoviciana,Western Tanager,,
Bryce Canyon National Park,Bird,Certhia americana,Brown Creeper,,SC
Bryce Canyon National Park,Bird,Aphelocoma woodhouseii,Woodhouse'S Scrub-Jay,,SC
Bryce Canyon National Park,Bird,Corvus brachyrhynchos,American Crow,,
Bryce Canyon National Park,Bird,Corvus corax,Common Raven,,
